Kraj;Rok;PKB_per_capita;naklady_edu;Total fixed assets (gross);Labor force, total
Czech Republic;2008;27974,48713;0,8404694;47401,3;5205457
Czech Republic;2009;27781,94467;0,9356198;41308;5249468
Czech Republic;2010;27903,25872;0,8853807;42873,6;5241405
Czech Republic;2011;29001,36804;1,077835;44199,6;5233081
Czech Republic;2012;29254,73127;0,9713772;42525,3;5269982
Czech Republic;2013;30818,10816;0,8519494;40439,3;5323134
Czech Republic;2014;32502,47535;0,7778439;40092,3;5324487
Czech Republic;2015;33899,28657;0,7511527;44997,4;5337247
Czech Republic;2016;36097,70526;0,6845585;44257,9;5388300
Czech Republic;2017;38824,88792;0,681298;48370,7;5419903
Estonia;2008;22830,08963;0,9238182;5173,3;697853
Estonia;2009;20608,89579;1,172838;3204,9;690538
Estonia;2010;21815,01684;1,033032;3130,2;683977
Estonia;2011;24780,97937;1,130234;4412,4;687756
Estonia;2012;26190,55266;0,9239972;5143,9;684569
Estonia;2013;27642,58479;1,234226;5276,2;680794
Estonia;2014;29135,70512;1,344084;5161,2;675991
Estonia;2015;29389,25532;1,232337;5053,5;686206
Estonia;2016;31577,06885;1,2304;5313,1;695233
Estonia;2017;33856,18111;1,073276;6177,3;703706
Finland;2008;40083,69727;1,537551;47583;2718910
Finland;2009;38000,24563;1,727368;41720;2689527
Finland;2010;38986,21596;1,757051;41949;2679149
Finland;2011;40916,83858;1,775771;44780;2692288
Finland;2012;40873,09533;1,695554;46395;2698827
Finland;2013;41493,14165;1,659276;44967;2684110
Finland;2014;41757,40219;1,629648;44425;2687528
Finland;2015;42497,70498;1,592316;44877;2695567
Finland;2016;44934,44821;1,537382;49474;2688740
Finland;2017;47570,13358;1,435572;52839;2709253
Hungary;2008;20696,72857;0,8524974;25292,2;4259063
Hungary;2009;20689,04664;0,9360797;21418,4;4258401
Hungary;2010;21716,65091;0,8154577;20023,6;4299585
Hungary;2011;22999,83061;0,9366404;19957,7;4316650
Hungary;2012;23206,25512;0,67158;19197,1;4369588
Hungary;2013;24498,65877;0,7795866;21261,9;4403114
Hungary;2014;25642,55668;0,6520242;23388,5;4527225
Hungary;2015;26777,4704;0,5460985;25008,3;4617150
Hungary;2016;27911,66484;0,6611874;22663,8;4685874
Hungary;2017;29465,12624;0,7043029;28133,4;4714433
Ireland;2008;44248,45901;1,105962;46525,1;2348537
Ireland;2009;41566,74405;1,266234;35875,7;2309811
Ireland;2010;43316,40529;1,166036;29422,5;2273937
Ireland;2011;44887,85199;1,103075;28651,4;2252958
Ireland;2012;46253,4673;1,148231;34348,9;2245011
Ireland;2013;47885,30663;0,9301711;33347,4;2263744
